,Unnamed: 0,date,counts,price,year,month,day
3,3,2018-11-06,210,617.0,2018,11,06 00:00:00
9,9,2018-09-20,228,674.0,2018,09,20 00:00:00
10,10,2018-03-14,30,420.0,2018,03,14 00:00:00
11,11,2018-03-01,97,546.0,2018,03,01 00:00:00
12,12,2018-11-15,186,441.0,2018,11,15 00:00:00
15,15,2018-05-13,240,484.0,2018,05,13 00:00:00
17,17,2018-07-14,241,420.0,2018,07,14 00:00:00
29,29,2018-09-24,531,256.0,2018,09,24 00:00:00
32,32,2018-01-22,107,619.0,2018,01,22 00:00:00
33,33,2018-05-03,60,498.0,2018,05,03 00:00:00
34,34,2018-11-08,162,560.0,2018,11,08 00:00:00
35,35,2018-11-03,243,704.0,2018,11,03 00:00:00
40,40,2018-07-08,323,782.0,2018,07,08 00:00:00
43,43,2018-01-18,117,299.0,2018,01,18 00:00:00
48,48,2018-07-09,220,199.0,2018,07,09 00:00:00
59,59,2018-01-13,106,922.0,2018,01,13 00:00:00
70,70,2018-02-02,89,398.0,2018,02,02 00:00:00
71,71,2018-10-02,295,398.0,2018,10,02 00:00:00
75,75,2018-08-15,248,277.0,2018,08,15 00:00:00
78,78,2018-04-26,131,868.0,2018,04,26 00:00:00
81,81,2018-03-11,87,981.0,2018,03,11 00:00:00
89,89,2018-12-04,155,910.0,2018,12,04 00:00:00
97,97,2018-05-05,176,263.0,2018,05,05 00:00:00
114,114,2018-04-12,108,747.0,2018,04,12 00:00:00
121,121,2018-06-05,113,626.0,2018,06,05 00:00:00
127,127,2018-07-10,180,178.0,2018,07,10 00:00:00
138,138,2018-12-24,292,996.0,2018,12,24 00:00:00
144,144,2018-10-27,268,882.0,2018,10,27 00:00:00
149,149,2018-12-22,259,235.0,2018,12,22 00:00:00
166,166,2018-01-09,82,99.0,2018,01,09 00:00:00
171,171,2018-07-16,286,3299.0,2018,07,16 00:00:00
172,172,2018-08-18,352,418.0,2018,08,18 00:00:00
182,182,2018-12-09,349,1418.0,2018,12,09 00:00:00
200,200,2018-01-10,86,356.0,2018,01,10 00:00:00
207,207,2018-12-27,229,199.0,2018,12,27 00:00:00
220,220,2018-06-21,152,420.0,2018,06,21 00:00:00
221,221,2018-06-18,435,277.0,2018,06,18 00:00:00
225,225,2018-08-10,251,319.0,2018,08,10 00:00:00
228,228,2018-06-09,200,356.0,2018,06,09 00:00:00
252,252,2018-08-11,288,177.0,2018,08,11 00:00:00
255,255,2018-02-01,85,363.0,2018,02,01 00:00:00
277,277,2018-02-07,81,1581.0,2018,02,07 00:00:00
287,287,2018-02-11,79,170.0,2018,02,11 00:00:00
299,299,2018-03-30,18,263.0,2018,03,30 00:00:00
